species_common_name,species_scientific_name,species_abbreviation,lat,count
Cape petrel,Daption capense,DAPCAP,-41.61666666666667,12
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-41.61666666666667,5
Westland petrel,Procellaria westlandica,PROWES,-41.61666666666667,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-41.56666666666667,1
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-41.56666666666667,1
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-41.56666666666667,1
Buller's mollymawk,Thalassarche bulleri,THABUL,-41.56666666666667,1
Salvin's mollymawk,Thalassarche salvini,THASAL,-41.56666666666667,3
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-41.56666666666667,3
Giant petrel ,Macronectes sp.,MACSP,-41.56666666666667,7
Cape petrel,Daption capense,DAPCAP,-41.56666666666667,40
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-41.56666666666667,6
Prion ,Pachyptila sp,PACSP,-41.56666666666667,15
Westland / White-chinned petrel,Procellaria westlandica ,PROWESAEQ,-41.56666666666667,6
Salvin's mollymawk,Thalassarche salvini,THASAL,-41.483333333333334,2
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-41.483333333333334,4
Yellow-nosed mollymawk ,Thalassarche carteri ,THACARCHL,-41.483333333333334,1
Giant petrel ,Macronectes sp.,MACSP,-41.483333333333334,10
Cape petrel,Daption capense,DAPCAP,-41.483333333333334,50
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-41.483333333333334,4
Prion ,Pachyptila sp,PACSP,-41.483333333333334,15
Westland / White-chinned petrel,Procellaria westlandica ,PROWESAEQ,-41.483333333333334,6
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-41.36666666666667,1
Giant petrel ,Macronectes sp.,MACSP,-41.36666666666667,2
Cape petrel,Daption capense,DAPCAP,-41.36666666666667,30
Giant petrel ,Macronectes sp.,MACSP,-40.75,2
Cape petrel,Daption capense,DAPCAP,-40.75,6
Giant petrel ,Macronectes sp.,MACSP,-40.7,4
Cape petrel,Daption capense,DAPCAP,-40.7,8
Fluttering shearwater,Puffinus gavia,PUFGAV,-40.7,6
Giant petrel ,Macronectes sp.,MACSP,-41.1,4
Cape petrel,Daption capense,DAPCAP,-41.1,2
Giant petrel ,Macronectes sp.,MACSP,-40.9,4
Cape petrel,Daption capense,DAPCAP,-40.9,20
Sooty shearwater,Puffinus griseus,PUFGRI,-40.9,4
Australasian gannet ,Morus serrator ,MORSER,-40.9,5
Southern black-backed gull ,Larus dominicanus ,LARDOM,-40.9,3
Southern black-backed gull ,Larus dominicanus ,LARDOM,-40.9,2
Giant petrel ,Macronectes sp.,MACSP,-40.8,4
Cape petrel,Daption capense,DAPCAP,-40.8,6
Southern black-backed gull ,Larus dominicanus ,LARDOM,-40.8,2
Giant petrel ,Macronectes sp.,MACSP,-40.71666666666667,2
Cape petrel,Daption capense,DAPCAP,-40.71666666666667,4
Fluttering shearwater,Puffinus gavia,PUFGAV,-40.71666666666667,6
Australasian gannet ,Morus serrator ,MORSER,-40.71666666666667,1
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-40.63333333333333,1
Giant petrel ,Macronectes sp.,MACSP,-40.63333333333333,2
Cape petrel,Daption capense,DAPCAP,-40.63333333333333,6
Westland petrel,Procellaria westlandica,PROWES,-40.63333333333333,4
Fluttering shearwater,Puffinus gavia,PUFGAV,-40.63333333333333,4
Southern black-backed gull ,Larus dominicanus ,LARDOM,-40.63333333333333,4
Southern black-backed gull ,Larus dominicanus ,LARDOM,-40.63333333333333,2
Red-billed gull,Larus novaehollandiae,LARNOV,-40.63333333333333,2
White-fronted tern,Sterna striata,STESTR,-40.63333333333333,3
Cape petrel,Daption capense,DAPCAP,-40.983333333333334,1
Southern black-backed gull ,Larus dominicanus ,LARDOM,-40.983333333333334,20
Southern black-backed gull ,Larus dominicanus ,LARDOM,-40.983333333333334,6
Cape petrel,Daption capense,DAPCAP,-40.983333333333334,1
Southern black-backed gull ,Larus dominicanus ,LARDOM,-40.983333333333334,100
Southern black-backed gull ,Larus dominicanus ,LARDOM,-40.983333333333334,20
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.9,1
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-40.9,1
Giant petrel ,Macronectes sp.,MACSP,-40.9,2
Antarctic fulmar,Fulmarus glacialoides,FULGLA,-40.9,1
Cape petrel,Daption capense,DAPCAP,-40.9,100
Westland petrel,Procellaria westlandica,PROWES,-40.9,3
Southern black-backed gull ,Larus dominicanus ,LARDOM,-40.9,2
Giant petrel ,Macronectes sp.,MACSP,-41.03333333333333,3
Cape petrel,Daption capense,DAPCAP,-41.03333333333333,40
Westland petrel,Procellaria westlandica,PROWES,-41.03333333333333,2
Giant petrel ,Macronectes sp.,MACSP,-41.016666666666666,1
Cape petrel,Daption capense,DAPCAP,-41.016666666666666,20
Westland petrel,Procellaria westlandica,PROWES,-41.016666666666666,1
Southern black-backed gull ,Larus dominicanus ,LARDOM,-41.016666666666666,1
Northern royal albatross,Diomedea sanfordi,DIOSAN,-41.95,1
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-41.95,2
Giant petrel ,Macronectes sp.,MACSP,-41.95,3
Cape petrel,Daption capense,DAPCAP,-41.95,50
Kerguelen petrel,Lugensa brevirostris,LUGBRE,-41.95,1
Westland petrel,Procellaria westlandica,PROWES,-41.95,4
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-41.95,1
Giant petrel ,Macronectes sp.,MACSP,-41.95,1
Cape petrel,Daption capense,DAPCAP,-41.95,20
Giant petrel ,Macronectes sp.,MACSP,-41.983333333333334,1
Cape petrel,Daption capense,DAPCAP,-41.983333333333334,20
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-41.983333333333334,1
Southern black-backed gull ,Larus dominicanus ,LARDOM,-41.983333333333334,1
Southern giant petrel ,Macronectes giganteus  ,MACGIG,-40.833333333333336,NA
Giant petrel ,Macronectes sp.,MACSP,-40.18333333333333,2
Cape petrel,Daption capense,DAPCAP,-40.18333333333333,1
Prion ,Pachyptila sp,PACSP,-40.18333333333333,20
Hutton's shearwater,Puffinus huttoni,PUFHUT,-40.18333333333333,1
Southern black-backed gull ,Larus dominicanus ,LARDOM,-40.18333333333333,1
Giant petrel ,Macronectes sp.,MACSP,-40.166666666666664,3
Cape petrel,Daption capense,DAPCAP,-40.166666666666664,1
Prion ,Pachyptila sp,PACSP,-40.166666666666664,500
Hutton's shearwater,Puffinus huttoni,PUFHUT,-40.166666666666664,50
Southern black-backed gull ,Larus dominicanus ,LARDOM,-40.166666666666664,3
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-40.13333333333333,1
Cape petrel,Daption capense,DAPCAP,-40.13333333333333,2
Prion ,Pachyptila sp,PACSP,-40.13333333333333,1000
Fluttering shearwater,Puffinus gavia,PUFGAV,-40.13333333333333,20
Hutton's shearwater,Puffinus huttoni,PUFHUT,-40.13333333333333,140
Diving-petrel ,Pelecanoides sp.,PELSP,-40.13333333333333,15
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-40.06666666666667,2
Giant petrel ,Macronectes sp.,MACSP,-40.06666666666667,2
Cape petrel,Daption capense,DAPCAP,-40.06666666666667,2
Prion ,Pachyptila sp,PACSP,-40.06666666666667,1000
Hutton's shearwater,Puffinus huttoni,PUFHUT,-40.06666666666667,12
Little shearwater,Puffinus assimilis,PUFASS,-40.06666666666667,20
Diving-petrel ,Pelecanoides sp.,PELSP,-40.06666666666667,6
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-39.983333333333334,3
Yellow-nosed mollymawk ,Thalassarche carteri ,THACARCHL,-39.983333333333334,1
Giant petrel ,Macronectes sp.,MACSP,-39.983333333333334,3
Cape petrel,Daption capense,DAPCAP,-39.983333333333334,6
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-39.983333333333334,1
Prion ,Pachyptila sp,PACSP,-39.983333333333334,20
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-39.95,1
Giant petrel ,Macronectes sp.,MACSP,-39.95,3
Cape petrel,Daption capense,DAPCAP,-39.95,4
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-39.95,2
Prion ,Pachyptila sp,PACSP,-39.95,6
Salvin's mollymawk,Thalassarche salvini,THASAL,-39.81666666666667,1
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-39.81666666666667,2
Giant petrel ,Macronectes sp.,MACSP,-39.81666666666667,5
Cape petrel,Daption capense,DAPCAP,-39.81666666666667,6
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-39.81666666666667,2
Prion ,Pachyptila sp,PACSP,-39.81666666666667,30
Hutton's shearwater,Puffinus huttoni,PUFHUT,-39.81666666666667,50
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-39.766666666666666,1
Giant petrel ,Macronectes sp.,MACSP,-39.766666666666666,5
Cape petrel,Daption capense,DAPCAP,-39.766666666666666,4
Prion ,Pachyptila sp,PACSP,-39.766666666666666,42
Hutton's shearwater,Puffinus huttoni,PUFHUT,-39.766666666666666,15
Giant petrel ,Macronectes sp.,MACSP,-39.61666666666667,4
Cape petrel,Daption capense,DAPCAP,-39.61666666666667,4
Prion ,Pachyptila sp,PACSP,-39.61666666666667,50
Little shearwater,Puffinus assimilis,PUFASS,-39.61666666666667,20
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-39.61666666666667,1
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-39.61666666666667,1
Giant petrel ,Macronectes sp.,MACSP,-39.61666666666667,5
Cape petrel,Daption capense,DAPCAP,-39.61666666666667,4
Prion ,Pachyptila sp,PACSP,-39.61666666666667,500
Hutton's shearwater,Puffinus huttoni,PUFHUT,-39.61666666666667,50
Little shearwater,Puffinus assimilis,PUFASS,-39.61666666666667,100
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-39.65,2
Giant petrel ,Macronectes sp.,MACSP,-39.65,4
Cape petrel,Daption capense,DAPCAP,-39.65,3
Prion ,Pachyptila sp,PACSP,-39.65,300
Little shearwater,Puffinus assimilis,PUFASS,-39.65,50
Giant petrel ,Macronectes sp.,MACSP,-39.7,8
Cape petrel,Daption capense,DAPCAP,-39.7,4
Prion ,Pachyptila sp,PACSP,-39.7,200
Little shearwater,Puffinus assimilis,PUFASS,-39.7,50
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-39.85,3
Giant petrel ,Macronectes sp.,MACSP,-39.85,2
Cape petrel,Daption capense,DAPCAP,-39.85,9
Prion ,Pachyptila sp,PACSP,-39.85,50
Hutton's shearwater,Puffinus huttoni,PUFHUT,-39.85,1
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-39.85,1
Giant petrel ,Macronectes sp.,MACSP,-39.85,1
Cape petrel,Daption capense,DAPCAP,-39.85,8
Prion ,Pachyptila sp,PACSP,-39.85,30
Hutton's shearwater,Puffinus huttoni,PUFHUT,-39.85,1
Little shearwater,Puffinus assimilis,PUFASS,-39.85,20
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-39.86666666666667,2
Giant petrel ,Macronectes sp.,MACSP,-39.86666666666667,2
Cape petrel,Daption capense,DAPCAP,-39.86666666666667,6
Prion ,Pachyptila sp,PACSP,-39.86666666666667,5000
Hutton's shearwater,Puffinus huttoni,PUFHUT,-39.86666666666667,6
Little shearwater,Puffinus assimilis,PUFASS,-39.86666666666667,100
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-39.86666666666667,2
Giant petrel ,Macronectes sp.,MACSP,-39.86666666666667,2
Cape petrel,Daption capense,DAPCAP,-39.86666666666667,8
Prion ,Pachyptila sp,PACSP,-39.86666666666667,500
Westland petrel,Procellaria westlandica,PROWES,-39.86666666666667,2
Little shearwater,Puffinus assimilis,PUFASS,-39.86666666666667,6
Diving-petrel ,Pelecanoides sp.,PELSP,-39.86666666666667,8
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-39.9,4
Giant petrel ,Macronectes sp.,MACSP,-39.9,2
Cape petrel,Daption capense,DAPCAP,-39.9,8
Prion ,Pachyptila sp,PACSP,-39.9,99999
Hutton's shearwater,Puffinus huttoni,PUFHUT,-39.9,200
Fluttering / Hutton's shearwater,Puffinus gavia ,PUFGAVHUT,-39.9,500
Little shearwater,Puffinus assimilis,PUFASS,-39.9,500
Giant petrel ,Macronectes sp.,MACSP,-40.05,2
Cape petrel,Daption capense,DAPCAP,-40.05,3
Prion ,Pachyptila sp,PACSP,-40.05,12
Little shearwater,Puffinus assimilis,PUFASS,-40.05,3
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-40.45,1
Yellow-nosed mollymawk ,Thalassarche carteri ,THACARCHL,-40.45,1
Giant petrel ,Macronectes sp.,MACSP,-40.45,1
Cape petrel,Daption capense,DAPCAP,-40.45,2
Little shearwater,Puffinus assimilis,PUFASS,-40.45,4
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-40.483333333333334,1
Prion ,Pachyptila sp,PACSP,-40.483333333333334,1
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-40.63333333333333,1
Giant petrel ,Macronectes sp.,MACSP,-40.63333333333333,1
Prion ,Pachyptila sp,PACSP,-40.63333333333333,2
Giant petrel ,Macronectes sp.,MACSP,-40.88333333333333,1
Cape petrel,Daption capense,DAPCAP,-40.88333333333333,8
Fluttering shearwater,Puffinus gavia,PUFGAV,-40.88333333333333,1
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-40.96666666666667,3
Southern giant petrel ,Macronectes giganteus  ,MACGIG,-40.96666666666667,1
Giant petrel ,Macronectes sp.,MACSP,-40.96666666666667,2
Cape petrel,Daption capense,DAPCAP,-40.96666666666667,2
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-41.1,3
Giant petrel ,Macronectes sp.,MACSP,-41.1,4
Cape petrel,Daption capense,DAPCAP,-41.1,30
Prion ,Pachyptila sp,PACSP,-41.1,6
Diving-petrel ,Pelecanoides sp.,PELSP,-41.1,6
Southern black-backed gull ,Larus dominicanus ,LARDOM,-41.1,1
Red-billed gull,Larus novaehollandiae,LARNOV,-41.1,2
Giant petrel ,Macronectes sp.,MACSP,-41.166666666666664,3
Cape petrel,Daption capense,DAPCAP,-41.166666666666664,30
Prion ,Pachyptila sp,PACSP,-41.166666666666664,4
Westland petrel,Procellaria westlandica,PROWES,-41.166666666666664,2
Hutton's shearwater,Puffinus huttoni,PUFHUT,-41.166666666666664,1
Diving-petrel ,Pelecanoides sp.,PELSP,-41.166666666666664,2
Southern black-backed gull ,Larus dominicanus ,LARDOM,-41.166666666666664,1
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-41.2,1
Giant petrel ,Macronectes sp.,MACSP,-41.2,7
Cape petrel,Daption capense,DAPCAP,-41.2,40
Westland petrel,Procellaria westlandica,PROWES,-41.2,2
Southern black-backed gull ,Larus dominicanus ,LARDOM,-41.2,50
Southern black-backed gull ,Larus dominicanus ,LARDOM,-41.2,20
Red-billed gull,Larus novaehollandiae,LARNOV,-41.2,2
Giant petrel ,Macronectes sp.,MACSP,-41.2,7
Cape petrel,Daption capense,DAPCAP,-41.2,20
Prion ,Pachyptila sp,PACSP,-41.2,4
Westland petrel,Procellaria westlandica,PROWES,-41.2,2
Southern black-backed gull ,Larus dominicanus ,LARDOM,-41.2,10
Southern black-backed gull ,Larus dominicanus ,LARDOM,-41.2,5
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-41.25,3
Giant petrel ,Macronectes sp.,MACSP,-41.25,3
Cape petrel,Daption capense,DAPCAP,-41.25,20
Prion ,Pachyptila sp,PACSP,-41.25,6
Southern black-backed gull ,Larus dominicanus ,LARDOM,-41.25,2
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-41.233333333333334,1
Shy / white-capped / Salvin's /  Chatham mollymawk,Thalassarche cauta ,THACAUSALERE,-41.233333333333334,1
Giant petrel ,Macronectes sp.,MACSP,-41.233333333333334,4
Cape petrel,Daption capense,DAPCAP,-41.233333333333334,80
Southern black-backed gull ,Larus dominicanus ,LARDOM,-41.233333333333334,2
Red-billed gull,Larus novaehollandiae,LARNOV,-41.233333333333334,1
Giant petrel ,Macronectes sp.,MACSP,-41.233333333333334,6
Cape petrel,Daption capense,DAPCAP,-41.233333333333334,50
Prion ,Pachyptila sp,PACSP,-41.233333333333334,6
Southern black-backed gull ,Larus dominicanus ,LARDOM,-41.233333333333334,15
Southern black-backed gull ,Larus dominicanus ,LARDOM,-41.233333333333334,10
Giant petrel ,Macronectes sp.,MACSP,-41.21666666666667,3
Cape petrel,Daption capense,DAPCAP,-41.21666666666667,30
Southern black-backed gull ,Larus dominicanus ,LARDOM,-41.21666666666667,5
Southern black-backed gull ,Larus dominicanus ,LARDOM,-41.21666666666667,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-41.166666666666664,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-41.166666666666664,4
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-41.166666666666664,2
Prion ,Pachyptila sp,PACSP,-41.166666666666664,22
Sooty shearwater,Puffinus griseus,PUFGRI,-41.166666666666664,50
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-41.1,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-41.1,3
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-41.1,2
Prion ,Pachyptila sp,PACSP,-41.1,6
Black petrel,Procellaria parkinsoni,PROPAR,-41.1,1
Sooty shearwater,Puffinus griseus,PUFGRI,-41.1,20
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-41.03333333333333,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-41.03333333333333,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-41.03333333333333,1
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-41.03333333333333,1
Prion ,Pachyptila sp,PACSP,-41.03333333333333,25
Sooty shearwater,Puffinus griseus,PUFGRI,-41.03333333333333,15
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.96666666666667,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.96666666666667,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.96666666666667,1
Buller's mollymawk,Thalassarche bulleri,THABUL,-40.96666666666667,1
Cape petrel,Daption capense,DAPCAP,-40.96666666666667,1
Prion ,Pachyptila sp,PACSP,-40.96666666666667,20
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.916666666666664,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.916666666666664,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.916666666666664,1
Cape petrel,Daption capense,DAPCAP,-40.916666666666664,2
Prion ,Pachyptila sp,PACSP,-40.916666666666664,40
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.88333333333333,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.88333333333333,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.88333333333333,1
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-40.88333333333333,2
Prion ,Pachyptila sp,PACSP,-40.88333333333333,250
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.833333333333336,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.833333333333336,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.833333333333336,1
Prion ,Pachyptila sp,PACSP,-40.833333333333336,100
Sooty shearwater,Puffinus griseus,PUFGRI,-40.833333333333336,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.8,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.8,2
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-40.8,2
Prion ,Pachyptila sp,PACSP,-40.8,50
Sooty shearwater,Puffinus griseus,PUFGRI,-40.8,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.733333333333334,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.733333333333334,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40.733333333333334,1
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-40.733333333333334,1
Grey-faced petrel,Pterodroma macroptera  gouldi,PTEMACGOU,-40.733333333333334,1
Prion ,Pachyptila sp,PACSP,-40.733333333333334,10
